ano;arabica;robusta;dcaf;conab
2004; 7.723,00 ; 783,00 ; 4.290,00 ; 454,00 
2005; 10.872,00 ; 1.172,00 ; 3.191,00 ; 182,00 
2006; 9.278,00 ; 446,00 ; 1.949,00 ; 182,00 
2007; 16.781,00 ; 803,00 ; 704,00 ; 182,00 
2008; 11.490,00 ; 1.013,00 ; 521,00 ; 178,00 
2009; 14.005,00 ; 651,00 ; 494,00 ; 616,00 
2010; 8.245,00 ; 699,00 ; 506,00 ; 1.648,00 
2011; 8.233,00 ; 1.005,00 ; 487,00 ; 1.615,00 
2012; 7.722,00 ; 693,00 ; 33,42 ; 1.614,56 
2013; 12.366,00 ; 1.572,00 ; 33,42 ; 1.619,66 
2014; 14.163,00 ; 1.055,00 ; 33,42 ; 1.619,66 
2015; 12.983,00 ; 1.386,03 ; -   ; 1.573,81 
