Microbacia;Zona;Clima;Cultura;Temperatura;PPT;Radiacao;ET;Fator
1;Tropical;Af;Eucalipto;25,3;1128,6;19,2;814,9;1,280252519
2;Subtropical;Cfb;Eucalipto;18,8;1293,36;15,6;945,2;1,18914513
3;Tropical;Cfb;Eucalipto;18,8;1266,24;13,6;860,5;0,964777825
4;Tropical;Cwa;Eucalipto;19,2;1486,68;16,9;951;1,330330913
5;Tropical;Cwa;Eucalipto;20,7;1404,36;17,6;988,1;1,257491808
6;Subtropical;Cfb;Eucalipto;19,4;1467,84;15,7;965,5;1,076753787
7;Subtropical;Cfa;Eucalipto;18,6;1816,92;16,3;1038,2;1,452513966
8;Tropical;Cfa;Eucalipto;20,6;1197;17,3;898,6;1,147820057
9;Tropical;Af;Eucalipto;24,4;1472,28;18,6;1070,9;1,299398493
10;Tropical;Cwb;Eucalipto;19,8;1122,96;17,2;637,9;1,512776297
11;Tropical;Am;Eucalipto;23,4;1146,96;17,6;917,6;1,207316187
12;Tropical;Cwa;Eucalipto;20,7;1328,4;16,9;805,6;1,464126117
13;Tropical;Am;Eucalipto;23,4;1395,96;17,6;930,3;1,445770182
14;Tropical;Cwb;Eucalipto;19,8;1369,56;17,2;713,6;1,455297085
15;Tropical;Cwa;Eucalipto;20,6;1019,28;18,5;705,4;1,306776297
16;Subtropical;Cfb;Pinus;18,6;1716,24;14,9;999,8;1,563002992
17;Subtropical;Cfb;Pinus;16;1935,96;14,6;933,8;1,286795417
18;Subtropical;Cfb;Pinus;17,1;1839,36;15;941,2;1,268585328
19;Tropical;Cwa;Pinus;20,6;1019,28;18,5;705,4;1,015877516
